Date,Forecast
2025-01-01,945.31195
2025-01-02,923.69855
2025-01-03,923.52985
2025-01-04,943.6556
2025-01-05,946.73535
2025-01-06,950.2441
2025-01-07,950.2994
2025-01-08,947.6684
2025-01-09,945.66766
2025-01-10,943.1524
2025-01-11,942.11237
2025-01-12,942.11237
2025-01-13,941.70306
2025-01-14,943.80695
2025-01-15,944.15186
2025-01-16,944.30835
2025-01-17,943.9574
2025-01-18,943.9574
2025-01-19,944.1847
2025-01-20,944.577
2025-01-21,944.4365
2025-01-22,944.4365
2025-01-23,944.3296
2025-01-24,944.577
2025-01-25,944.2612
2025-01-26,944.2612
2025-01-27,944.2612
2025-01-28,944.1478
2025-01-29,944.36816
2025-01-30,944.41864
2025-01-31,944.41864
2025-02-01,944.4278
2025-02-02,944.4278
2025-02-03,944.4278
2025-02-04,944.65674
2025-02-05,944.4278
2025-02-06,944.65674
2025-02-07,944.4278
2025-02-08,944.65674
2025-02-09,944.4278
2025-02-10,944.41864
2025-02-11,944.41864
2025-02-12,944.4278
2025-02-13,944.41864
2025-02-14,944.65674
2025-02-15,944.4278
2025-02-16,944.65674
2025-02-17,944.41864
2025-02-18,944.65674
2025-02-19,944.65674
