Date,Forecast
2025-01-01,1606.3705
2025-01-02,1607.2488
2025-01-03,1605.5287
2025-01-04,1603.5132
2025-01-05,1611.2219
2025-01-06,1624.3906
2025-01-07,1625.2706
2025-01-08,1613.233
2025-01-09,1611.0641
2025-01-10,1616.5677
2025-01-11,1624.0126
2025-01-12,1624.0168
2025-01-13,1610.1671
2025-01-14,1609.6511
2025-01-15,1609.9379
2025-01-16,1612.4904
2025-01-17,1617.196
2025-01-18,1625.651
2025-01-19,1625.5175
2025-01-20,1612.4564
2025-01-21,1610.7847
2025-01-22,1610.9098
2025-01-23,1610.8196
2025-01-24,1611.6427
2025-01-25,1614.315
2025-01-26,1616.1726
2025-01-27,1616.2428
2025-01-28,1613.0763
2025-01-29,1612.0936
2025-01-30,1612.3798
2025-01-31,1611.6346
2025-02-01,1611.1436
2025-02-02,1609.5287
2025-02-03,1609.6699
2025-02-04,1611.1436
2025-02-05,1615.0668
2025-02-06,1620.2367
2025-02-07,1625.649
2025-02-08,1625.5148
2025-02-09,1612.522
2025-02-10,1610.553
2025-02-11,1610.336
2025-02-12,1610.2931
2025-02-13,1610.2931
2025-02-14,1610.5741
2025-02-15,1610.7761
2025-02-16,1610.7761
2025-02-17,1612.0553
2025-02-18,1615.1615
2025-02-19,1616.9762
