Date,Forecast
2025-01-01,442.8564
2025-01-02,438.1919
2025-01-03,440.09894
2025-01-04,440.2389
2025-01-05,439.63425
2025-01-06,439.58264
2025-01-07,439.58264
2025-01-08,439.58264
2025-01-09,439.57254
2025-01-10,439.57254
2025-01-11,439.6566
2025-01-12,439.6566
2025-01-13,439.6566
2025-01-14,439.6566
2025-01-15,439.6566
2025-01-16,439.62134
2025-01-17,440.9294
2025-01-18,440.80368
2025-01-19,439.66452
2025-01-20,439.59448
2025-01-21,439.61133
2025-01-22,440.33594
2025-01-23,440.3599
2025-01-24,440.3599
2025-01-25,440.3599
2025-01-26,440.32803
2025-01-27,440.43015
2025-01-28,440.39703
2025-01-29,440.39703
2025-01-30,440.39703
