Date,Forecast
2025-01-01,2522.5823
2025-01-02,2444.931
2025-01-03,2461.049
2025-01-04,2504.9792
2025-01-05,2520.1543
2025-01-06,2512.67
2025-01-07,2505.9504
2025-01-08,2506.833
2025-01-09,2511.9875
2025-01-10,2511.9875
2025-01-11,2511.9875
2025-01-12,2511.9875
2025-01-13,2511.9875
2025-01-14,2511.9875
2025-01-15,2511.9875
2025-01-16,2513.7405
2025-01-17,2556.9692
2025-01-18,2584.7693
2025-01-19,2589.8684
2025-01-20,2583.953
2025-01-21,2591.1362
2025-01-22,2610.2505
2025-01-23,2609.107
2025-01-24,2610.5034
2025-01-25,2610.5034
2025-01-26,2611.2026
2025-01-27,2611.2026
2025-01-28,2611.2026
2025-01-29,2611.2026
2025-01-30,2611.2026
