,Date,Forecast
0,2025-01-01,1148.125
1,2025-01-02,1106.6738
2,2025-01-03,1120.7156
3,2025-01-04,1150.4166
4,2025-01-05,1149.5829
5,2025-01-06,1147.9825
6,2025-01-07,1145.9542
7,2025-01-08,1143.228
8,2025-01-09,1143.1804
9,2025-01-10,1143.3333
10,2025-01-11,1143.3784
11,2025-01-12,1142.9882
12,2025-01-13,1143.1442
13,2025-01-14,1143.1442
14,2025-01-15,1143.1442
15,2025-01-16,1148.889
16,2025-01-17,1150.6846
17,2025-01-18,1150.6736
18,2025-01-19,1148.9402
19,2025-01-20,1148.5306
20,2025-01-21,1148.7042
21,2025-01-22,1148.7042
22,2025-01-23,1149.1658
23,2025-01-24,1149.1293
24,2025-01-25,1149.1293
25,2025-01-26,1149.1293
26,2025-01-27,1149.1293
27,2025-01-28,1149.1293
28,2025-01-29,1149.1293
29,2025-01-30,1149.1293
30,2025-01-31,1148.889
31,2025-02-01,1143.1442
32,2025-02-02,1142.4199
33,2025-02-03,1143.7292
34,2025-02-04,1144.8625
35,2025-02-05,1143.5066
36,2025-02-06,1143.5297
37,2025-02-07,1143.1442
38,2025-02-08,1143.2103
39,2025-02-09,1143.1442
40,2025-02-10,1143.1442
41,2025-02-11,1143.1442
42,2025-02-12,1143.1442
43,2025-02-13,1143.1442
44,2025-02-14,1143.1442
45,2025-02-15,1143.1442
46,2025-02-16,1148.889
47,2025-02-17,1150.6211
48,2025-02-18,1150.6736
49,2025-02-19,1149.315
