,Date,Forecast
0,2025-01-01,3660.856
1,2025-01-02,3652.308
2,2025-01-03,3671.8855
3,2025-01-04,3672.1985
4,2025-01-05,3676.3616
5,2025-01-06,3664.1675
6,2025-01-07,3662.6516
7,2025-01-08,3664.104
8,2025-01-09,3664.248
9,2025-01-10,3664.73
10,2025-01-11,3663.7979
11,2025-01-12,3663.7979
12,2025-01-13,3663.7979
13,2025-01-14,3663.7979
14,2025-01-15,3663.7979
15,2025-01-16,3664.8352
16,2025-01-17,3671.5789
17,2025-01-18,3664.8352
18,2025-01-19,3664.1597
19,2025-01-20,3663.3208
20,2025-01-21,3664.78
21,2025-01-22,3664.8352
22,2025-01-23,3664.8352
23,2025-01-24,3664.8352
24,2025-01-25,3664.8352
25,2025-01-26,3664.8352
26,2025-01-27,3664.8352
27,2025-01-28,3664.8352
28,2025-01-29,3664.8352
29,2025-01-30,3664.8352
